source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,comm_samp,depth,replicate,size_frac_low,size_frac_up,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,samp_size_mass,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,failure,failure_comment,ENA_accession_number_sample,source_mat_id
EMOBON-211028-BPNS-So3-Micro-R2,EMOBON metagenome sediment sample from station BPNS collected on 2021-10-28 community collected micro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=412755,marine sediment metagenome,metagenome,sediment [ENVO:00002007],2021-10-28,BPNS_So_211028,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,micro,18.66,2,NA,NA,Van Veen Grab,SoSOP3,NA,2021-10-28,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,false,NA,2022-01-10,2022-01-18,-70,2022-02-22,2022-02-23,false,NA,,EMOBON_BPNS_So_211028_micro_2
EMOBON-211028-BPNS-So3-Micro-R3,EMOBON metagenome sediment sample from station BPNS collected on 2021-10-28 community collected micro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=412755,marine sediment metagenome,metagenome,sediment [ENVO:00002007],2021-10-28,BPNS_So_211028,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,micro,18.66,3,NA,NA,Van Veen Grab,SoSOP3,NA,2021-10-28,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_BPNS_So_211028_micro_3
EMOBON-211028-BPNS-So3-Micro-R4,EMOBON metagenome sediment sample from station BPNS collected on 2021-10-28 community collected micro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=412755,marine sediment metagenome,metagenome,sediment [ENVO:00002007],2021-10-28,BPNS_So_211028,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,micro,18.66,4,NA,NA,Van Veen Grab,SoSOP3,NA,2021-10-28,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_BPNS_So_211028_micro_4
EMOBON-211028-BPNS-So3-Micro-B1,EMOBON metagenome sediment sample from station BPNS collected on 2021-10-28 community collected micro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=32644,unidentified,metagenome,sediment [ENVO:00002007],2021-10-28,BPNS_So_211028,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,micro,18.66,blank,NA,NA,Van Veen Grab,SoSOP3,NA,2021-10-28,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_BPNS_So_211028_micro_blank
EMOBON-211028-BPNS-So3-Micro-B2,EMOBON metagenome sediment sample from station BPNS collected on 2021-10-28 community collected micro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=32644,unidentified,metagenome,sediment [ENVO:00002007],2021-10-28,BPNS_So_211028,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,micro,18.66,blank,NA,NA,Van Veen Grab,SoSOP3,NA,2021-10-28,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_BPNS_So_211028_micro_blank
EMOBON-211028-BPNS-So3-Macro-R1,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected macro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2021-10-28,BPNS_So_211028,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,macro,19.42,1,NA,NA,Van Veen Grab,SoSOP3,NA,2021-10-28,MSO LifeWatch Lab -20 Freezer 3,-20,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,false,NA,2022-01-10,2022-01-18,4,2023-10-17,2023-10-17,,,,EMOBON_BPNS_So_211028_macro_1
EMOBON-211028-BPNS-So3-Macro-R2,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected macro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2021-10-28,BPNS_So_211028,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,macro,19.42,2,NA,NA,Van Veen Grab,SoSOP3,NA,2021-10-28,MSO LifeWatch Lab -20 Freezer 3,-20,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,false,NA,2022-01-10,2022-01-18,4,2023-10-17,2023-10-17,,,,EMOBON_BPNS_So_211028_macro_2
EMOBON-211028-BPNS-So3-Macro-R3,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected macro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2021-10-28,BPNS_So_211028,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,macro,19.42,3,NA,NA,Van Veen Grab,SoSOP3,NA,2021-10-28,MSO LifeWatch Lab -20 Freezer 3,-20,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_BPNS_So_211028_macro_3
EMOBON-211028-BPNS-So3-Macro-R4,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected macro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2021-10-28,BPNS_So_211028,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,macro,19.42,4,NA,NA,Van Veen Grab,SoSOP3,NA,2021-10-28,MSO LifeWatch Lab -20 Freezer 3,-20,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_BPNS_So_211028_macro_4
EMOBON-211028-BPNS-So3-Macro-B,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected macro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=32644,unidentified,mimarks-specimen,sediment [ENVO:00002007],2021-10-28,BPNS_So_211028,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,macro,19.42,blank,NA,NA,Van Veen Grab,SoSOP3,NA,2021-10-28,MSO LifeWatch Lab -20 Freezer 3,-20,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_BPNS_So_211028_macro_blank
EMOBON-211028-BPNS-SoSOP3-Meio-R1,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected meio,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2021-10-28,BPNS_So_211028,Lara Macheriotou,https://orcid.org/0000-0002-5662-5689,ebb_tide,meio,19.42,1,0.32,NA,Van Veen Grab,SoSOP3,NA,2021-10-28,"UGent MarBiol Freezer #11, Box#65",-20,Lara Macheriotou,https://orcid.org/0000-0002-5662-5689,Annelien Rigaux,NA,false,170,2021-12-01,2021-12-03,-20,2022-07-18,2023-07-18,,,,EMOBON_BPNS_So_211028_meio_1
EMOBON-211028-BPNS-SoSOP3-Meio-R2,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected meio,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2021-10-28,BPNS_So_211028,Lara Macheriotou,https://orcid.org/0000-0002-5662-5689,ebb_tide,meio,19.42,2,0.32,NA,Van Veen Grab,SoSOP3,NA,2021-10-28,"UGent MarBiol Freezer #11, Box#65",-20,Lara Macheriotou,https://orcid.org/0000-0002-5662-5689,Annelien Rigaux,NA,false,272,2021-12-01,2021-12-03,-20,2022-07-18,2023-07-18,,,,EMOBON_BPNS_So_211028_meio_2
EMOBON-211028-BPNS-SoSOP3-Meio-R3,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected meio,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2021-10-28,BPNS_So_211028,Lara Macheriotou,https://orcid.org/0000-0002-5662-5689,ebb_tide,meio,19.42,3,0.32,NA,Van Veen Grab,SoSOP3,NA,2021-10-28,"UGent MarBiol Freezer #11, Box#65",-20,Lara Macheriotou,https://orcid.org/0000-0002-5662-5689,Annelien Rigaux,NA,true,334,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_BPNS_So_211028_meio_3
EMOBON-211028-BPNS-SoSOP3-Meio-R4,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected meio,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2021-10-28,BPNS_So_211028,Lara Macheriotou,https://orcid.org/0000-0002-5662-5689,ebb_tide,meio,19.42,4,0.32,NA,Van Veen Grab,SoSOP3,NA,2021-10-28,"UGent MarBiol Freezer #11, Box#65",-20,Lara Macheriotou,https://orcid.org/0000-0002-5662-5689,Annelien Rigaux,NA,true,228,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_BPNS_So_211028_meio_4
EMOBON-211028-BPNS-SoSOP3-Meio-B,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected meio,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=32644,unidentified,mimarks-specimen,sediment [ENVO:00002007],2021-10-28,BPNS_So_211028,Lara Macheriotou,https://orcid.org/0000-0002-5662-5689,ebb_tide,meio,19.42,blank,0.32,NA,Van Veen Grab,SoSOP3,NA,2021-10-28,"UGent MarBiol Freezer #11, Box#65",-20,Lara Macheriotou,https://orcid.org/0000-0002-5662-5689,Annelien Rigaux,NA,false,NA,2021-12-01,2021-12-03,-20,2022-07-18,2023-07-18,,,,EMOBON_BPNS_So_211028_meio_blank
EMOBON-211223-BPNS-So3-Micro-R1,EMOBON metagenome sediment sample from station BPNS collected on 2021-12-23 community collected micro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=412755,marine sediment metagenome,metagenome,sediment [ENVO:00002007],2021-12-23,BPNS_So_211223,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,ebb_tide,micro,21.2,1,NA,NA,Van Veen Grab,SoSOP3,Problem with underway data,2021-12-23,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,false,NA,2022-01-10,2022-01-18,-70,2022-02-22,2022-02-23,false,NA,,EMOBON_BPNS_So_211223_micro_1
EMOBON-211223-BPNS-So3-Micro-R2,EMOBON metagenome sediment sample from station BPNS collected on 2021-12-23 community collected micro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=412755,marine sediment metagenome,metagenome,sediment [ENVO:00002007],2021-12-23,BPNS_So_211223,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,ebb_tide,micro,21.2,2,NA,NA,Van Veen Grab,SoSOP3,Problem with underway data,2021-12-23,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,false,NA,2022-01-10,2022-01-18,-70,2022-02-22,2022-02-23,false,NA,,EMOBON_BPNS_So_211223_micro_2
EMOBON-211223-BPNS-So3-Micro-R3,EMOBON metagenome sediment sample from station BPNS collected on 2021-12-23 community collected micro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=412755,marine sediment metagenome,metagenome,sediment [ENVO:00002007],2021-12-23,BPNS_So_211223,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,ebb_tide,micro,21.2,3,NA,NA,Van Veen Grab,SoSOP3,Problem with underway data,2021-12-23,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_BPNS_So_211223_micro_3
EMOBON-211223-BPNS-So3-Micro-R4,EMOBON metagenome sediment sample from station BPNS collected on 2021-12-23 community collected micro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=412755,marine sediment metagenome,metagenome,sediment [ENVO:00002007],2021-12-23,BPNS_So_211223,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,ebb_tide,micro,21.2,4,NA,NA,Van Veen Grab,SoSOP3,Problem with underway data,2021-12-23,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_BPNS_So_211223_micro_4
EMOBON-211223-BPNS-So3-Micro-B1,EMOBON metagenome sediment sample from station BPNS collected on 2021-12-23 community collected micro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=32644,unidentified,metagenome,sediment [ENVO:00002007],2021-12-23,BPNS_So_211223,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,ebb_tide,micro,21.2,blank,NA,NA,Van Veen Grab,SoSOP3,Problem with underway data,2021-12-23,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_BPNS_So_211223_micro_blank
